STATUS | wrapper  | 2026/09/06 08:00:01 | --> Wrapper Started as Service
ERROR  | jvm 1    | 2026/09/06 03:10:12 | [TaskRunner] Connection refused to target SNMP agent 192.168.1.105:161
ERROR  | jvm 1    | 2026/09/06 03:10:12 | java.net.ConnectException: Connection refused (Connection refused)
ERROR  | jvm 1    | 2026/09/06 03:10:12 |     at java.base/sun.nio.ch.SocketChannelImpl.checkConnect(Native Method)
ERROR  | jvm 1    | 2026/09/06 03:10:12 |     at java.base/sun.nio.ch.SocketChannelImpl.finishConnect(SocketChannelImpl.java:777)
ERROR  | jvm 1    | 2026/09/06 03:10:12 |     at com.opmanager.net.SnmpClient.pollDevice(SnmpClient.java:204)
INFO   | jvm 1    | 2026/09/06 04:00:00 | [HealthCheck] System status: OK. Free Heap: 1820MB / 4096MB.
WARN   | jvm 1    | 2026/09/06 05:22:10 | [GC (Allocation Failure) 3450M->1800M(4096M), 0.2104521 secs]
INFO   | jvm 1    | 2026/09/06 06:00:00 | [HealthCheck] System status: OK. Free Heap: 1750MB / 4096MB.
INFO   | jvm 1    | 2026/09/06 07:15:02 | [AuthService] User admin logged in successfully from IP 10.0.4.15.
WARN   | jvm 1    | 2026/09/06 08:05:12 | [ThreadPool] Active worker threads (95/100) approaching maximum capacity.
WARN   | jvm 1    | 2026/09/06 08:10:44 | [ThreadPool] Worker thread pool exhausted! Incoming connections queuing up...
ERROR  | jvm 1    | 2026/09/06 08:12:01 | [WebServer] Reached max threads count (100). Rejecting connection from 10.0.4.55
ERROR  | jvm 1    | 2026/09/06 08:12:03 | [WebServer] Reached max threads count (100). Rejecting connection from 10.0.4.56
ERROR  | jvm 1    | 2026/09/06 08:15:10 | [DatabasePool] Could not acquire connection from pool: Communications link failure
ERROR  | jvm 1    | 2026/09/06 08:15:10 | com.mysql.cj.jdbc.exceptions.CommunicationsException: Communications link failure
ERROR  | jvm 1    | 2026/09/06 08:15:10 |     at com.mysql.cj.jdbc.exceptions.SQLError.createCommunicationsException(SQLError.java:174)
ERROR  | jvm 1    | 2026/09/06 08:15:10 |     at com.mysql.cj.jdbc.OsgiDataSource.getConnection(OsgiDataSource.java:92)
ERROR  | jvm 1    | 2026/09/06 08:15:10 |     at com.opmanager.db.DBManager.executeQuery(DBManager.java:145)
WARN   | jvm 1    | 2026/09/06 08:15:15 | [DatabasePool] Attempting connection retry (1/5) to 10.0.1.50:3306...
WARN   | jvm 1    | 2026/09/06 08:15:20 | [DatabasePool] Attempting connection retry (2/5) to 10.0.1.50:3306...
INFO   | jvm 1    | 2026/09/06 08:15:24 | [DatabasePool] Connection re-established successfully.
INFO   | jvm 1    | 2026/09/06 08:30:00 | [ReportGenerator] Batch generation started for 500 network performance reports...
WARN   | jvm 1    | 2026/09/06 08:42:15 | [GC (G1 Evacuation Pause) (young) 3890M->3412M(4096M), 0.4812301 secs]
WARN   | jvm 1    | 2026/09/06 08:43:02 | [GC (G1 Humongous Allocation) 3998M->3802M(4096M), 0.9123041 secs]
ERROR  | jvm 1    | 2026/09/06 08:44:15 | [MemoryManager] Critical heap space exhaustion detected! Used: 4050MB / Total: 4096MB
ERROR  | jvm 1    | 2026/09/06 08:44:18 | Exception in thread "RMI TCP Connection(12)-10.0.4.15" java.lang.OutOfMemoryError: Java heap space
ERROR  | jvm 1    | 2026/09/06 08:44:18 |     at com.opmanager.analytics.ReportGenerator.buildLargeDataset(ReportGenerator.java:310)
ERROR  | jvm 1    | 2026/09/06 08:44:18 |     at com.opmanager.analytics.ReportGenerator.generatePdf(ReportGenerator.java:112)
ERROR  | jvm 1    | 2026/09/06 08:44:18 |     at com.opmanager.analytics.ReportJob.execute(ReportJob.java:45)
ERROR  | jvm 1    | 2026/09/06 08:44:19 | Exception in thread "TaskScheduler-3" java.lang.OutOfMemoryError: Java heap space
STATUS | wrapper  | 2026/09/06 08:44:45 | JVM appeared hung: Timed out waiting for signal from JVM (Ping timeout 30s).
STATUS | wrapper  | 2026/09/06 08:44:45 | Dumping JVM core state before termination...
STATUS | wrapper  | 2026/09/06 08:44:46 | Thread dump written to /opt/opmanager/logs/wrapper_thread_dump.txt
STATUS | wrapper  | 2026/09/06 08:44:47 | Terminating JVM process (PID 18420)...
STATUS | wrapper  | 2026/09/06 08:44:48 | JVM exited unexpectedly (exit code 137).
STATUS | wrapper  | 2026/09/06 08:44:48 | Automatic restart enabled. Restarting JVM (Attempt 1/5)...
STATUS | wrapper  | 2026/09/06 08:44:50 | Launching a JVM...
INFO   | jvm 2    | 2026/09/06 08:44:51 | Initializing Java Virtual Machine (Java 17.0.8)...
INFO   | jvm 2    | 2026/09/06 08:44:51 | JVM Arguments: -Djava.awt.headless=true -Xms1024m -Xmx4096m -XX:+UseG1GC -Dapp.name=OpManager
INFO   | jvm 2    | 2026/09/06 08:44:53 | [Main] Application Framework initialization started.
ERROR  | jvm 2    | 2026/09/06 08:44:55 | [WebServer] Failed to bind to 0.0.0.0:8080: Address already in use
ERROR  | jvm 2    | 2026/09/06 08:44:55 | java.net.BindException: Address already in use
ERROR  | jvm 2    | 2026/09/06 08:44:55 |     at java.base/sun.nio.ch.Net.bind0(Native Method)
ERROR  | jvm 2    | 2026/09/06 08:44:55 |     at java.base/sun.nio.ch.Net.bind(Net.java:555)
ERROR  | jvm 2    | 2026/09/06 08:44:55 |     at com.opmanager.web.ServerContainer.start(ServerContainer.java:88)
STATUS | wrapper  | 2026/09/06 08:44:57 | JVM exited unexpectedly (exit code 1).
STATUS | wrapper  | 2026/09/06 08:45:00 | Waiting 5 seconds before restarting JVM (Attempt 2/5)...
STATUS | wrapper  | 2026/09/06 08:45:05 | Launching a JVM...
INFO   | jvm 3    | 2026/09/06 08:45:06 | Initializing Java Virtual Machine (Java 17.0.8)...
INFO   | jvm 3    | 2026/09/06 08:45:08 | [Main] Application Framework initialization started.
INFO   | jvm 3    | 2026/09/06 08:45:11 | [DatabasePool] Connection established successfully.
INFO   | jvm 3    | 2026/09/06 08:45:13 | [WebServer] HTTP server started successfully on port 8080.
STATUS | wrapper  | 2026/09/06 08:45:15 | Startup completed successfully.
INFO   | jvm 3    | 2026/09/06 09:00:00 | [HealthCheck] System health status: OK. Free Heap: 3200MB / 4096MB.
INFO   | jvm 3    | 2026/09/06 10:15:22 | [AuthService] User admin logged in successfully from IP 10.0.4.15.
INFO   | jvm 3    | 2026/09/06 11:30:00 | [HealthCheck] System health status: OK. Free Heap: 2950MB / 4096MB.
INFO   | jvm 3    | 2026/09/06 12:00:00 | [HealthCheck] System health status: OK. Free Heap: 2800MB / 4096MB.
WARN   | jvm 3    | 2026/09/06 13:14:20 | [PollingEngine] Polling delay detected for node 192.168.1.250 (Latency: 1250ms)
INFO   | jvm 3    | 2026/09/06 14:00:00 | [HealthCheck] System health status: OK. Free Heap: 2650MB / 4096MB.
INFO   | jvm 3    | 2026/09/06 15:00:00 | [HealthCheck] System health status: OK. Free Heap: 2500MB / 4096MB.
STATUS | wrapper  | 2026/09/06 15:15:00 | Received stop signal from system service controller.
INFO   | jvm 3    | 2026/09/06 15:15:01 | [Main] Initiating graceful shutdown sequence...
INFO   | jvm 3    | 2026/09/06 15:15:02 | [DatabasePool] Closing active pool connections...
INFO   | jvm 3    | 2026/09/06 15:15:03 | [WebServer] Stopped HTTP server on port 8080.
STATUS | wrapper  | 2026/09/06 15:15:04 | JVM exited normally (exit code 0).
STATUS | wrapper  | 2026/09/06 15:15:05 | <-- Wrapper Stopped
